,1
train_dataset/receipt_00135.png," O.264X 96,500  inn GT 26,034 0Gr IKsN Bubuii 22,330 2 SWJ DutuRUS SATAY 7,50 Mc OG. TeTAL: Sj,i Simpie Rounii ` BALANKE DS"" i u6K: 6UsM Uarg Kexkbuls , HTity FURCHNS ; ^ 1.572 4340ne "
train_dataset/receipt_00502.png," DN EC VANBOOLEN 9,000 JONGKONG 15,500 DISC ITEH ~0 .000% AHOUNT ~4,650 PLASTIK KECIL 0 SENOOK   BEBEK 0 SUBTOTAL 19 , Total 19,850 cash 20 ,000 CHANGE 150 ,850 "
train_dataset/receipt_00272.png," =5= ====5 == =f= ZE= ==2 ==223 Astor Stick Cokelat 0,0DD 8,OD0 green tea 1 S0D 1 500 S=EEEEE= ==EEEEEE= TOTAL 16 5 500 CASH 50 , Odo CHANGE 3J 7 S00 409r "
train_dataset/receipt_00155.png," BBQ Chicken 41,000 Tidak Pedas ITEMS :1 41 Total, 41, 808 DEBIT BCA 41,000 "
train_dataset/receipt_00131.png, 1001-Choco Bun 22.000 xi 22.000 G001-Plastic Small 0 xl Total Iten: 2 Total. 22.000 Cash Tendered: 50.q00 Change: 28 . Q0Q Bag 
train_dataset/receipt_00771.png," K *1 Pc Cheese Tart Rp2900o ,00 # Rp29000,00 Total : Rp2900o _ 00 Customer Paid Cash; Rp29000. 00 Customer ; Rpo.00 WAA Subtotal: Change: "
train_dataset/receipt_00457.png, Es Kopi Susu Ix @15.000 15.000 Subtotal 15.000 {otal 15.000 
train_dataset/receipt_00354.png, 1001-Choco Bun 22.000 xl 22.000 6001-Plastic Small xi Total Item: otal. '22.000 ndered: 22.000 Bag 
train_dataset/receipt_00559.png," 3 5 L E 1 Salted Egg Chicken 22, SubTotal: 22,727 PBI: 2,277 Total: 25,005 cash: 25,000 2z225 "
train_dataset/receipt_00298.png," [RICHE] BLACK SAKURA 57,273 DRAGON FRUIT 0 KiWI MANGGO ROASTED ALMOND 8 YELLOW VELVET YELLOW VELVET 0 Sub Total 57,273 PB1 (10%) 5,727 Rounding 0 Total 63,000 ROiR7PY9 "
train_dataset/receipt_00189.png," PREMIUM  TOAST  PAN BREAD 24,000 TOTAL 24,000 CASH 50 ,O0O CHANGE 26 9 0Oo "
train_dataset/receipt_00289.png, J7 2 30. 0od Nesi_GORENG 40. 0o0 TEH BTL ES 5 0do TEH TELOR 14.000 SATE PADANG 30. 00o 2 30. 000 Hasi GORENG 80. Oo0 SUBTL 169. 000 TAX 102 16.900 JUrlAh: 185. 900 DIBAYAR 200. 00O KENBALI: 14.100 ITEN 
train_dataset/receipt_00311.png," 8 Banana Cho NuTea 20,0og SubTotal: 20, O00 PBI: 2,000 Total: 22,0= cash: 22.0081 2====SZ73 232233333 "
train_dataset/receipt_00360.png," 2 Twist   ORANGE   CHOCO   donUT 20 ,000 2 CHOCOLATE   TWIST 32 ,000 REAL CHOCOLATE ROLL 16,000 2 CHOCOLATE SOBORO 28, 000 TOTAL 96, 000 CASH 100,000 CHANGE 4,000 "
train_dataset/receipt_00221.png," POTATO SAUSAGE BREAD 19,000 OREO   GREEN TEA SPREAD '52,000 WHITE CHOCO BANANA   SPREAD 62,0Q0 TOTAL 123,200 CARD 123,0j00 "
train_dataset/receipt_00498.png," MILK PASTRY ROLL 9,000 CARAMEL PASTRY 12,000 TOTAL 21,000 CASH 50 ,000 CHANGE 29,000 "
train_dataset/receipt_00143.png, Iced Mochaccino 38. 000 Subtotal 38. 000 Pajak 3.800 Total 41.800 CASH 102.000 Kemibal ian 60 . 200 
train_dataset/receipt_00227.png," 42 n 2005-CKEESE Jokm 'S00, DD 9.500,D0 Total Iten"" Total: 9.500,d0 Cash Terdered: 20 . QQQ, 00 Cnange: 10.502 "
train_dataset/receipt_00694.png," Jenis RDH Bip Solar Harga/liter Rp a 5-450 Liter 49,545 Tutal @p; 254 3 Iqu Tunai Rpra 250= Do0 Kenbali Rp Doco Mas "
train_dataset/receipt_00139.png," Sesame Toast 22,500 22,500 Sub Total 22,500 GRAND   TOTAL 22 _ 500 CASH 50, O0o CHANGE 27,,500 "
train_dataset/receipt_00666.png," nJi PhiLLY CHEESESTEAK SL 35,455 SAUSADE PASTR: ROLL 29.071 CREAMY BcEF OS FTC 42,727 ARUA DOTTLE 10.709 2 LipTon ICE TEx RELULA 720 PAKET HAppY HDUR 27,273 1 GXRLICKEESE DREAD 1 CoLd FRAPE SUSTDTAL 178,103 TAK 17,810 196,001 35 KX aw 32, TOTAL "
train_dataset/receipt_00002.png," HAKAU UDANG 92,000 SIAO MAI BABI 80,000 3 CEKER AYAM 60,000 2 BAKPAO BKR € 42, CRISPY 3 TAHU GORENG 60,000 CRISPY Subtotal 334,000 Total 334,000 CaSH 350,000 Cash CHANGE -16,000 5 Total Item Total Qty 16 00O "
train_dataset/receipt_00607.png," Pepper Steak 122,727 Milo Cheese 5,454 TEkS: 2 128,484 Ter 10 0oAt 12,818 Tetal 140,999 Jod BOCA VOUCHER IC,00 Casn 50,000 Change 9,001 "
train_dataset/receipt_00549.png," [MD] SoFT  STEAMED CHOCOCA 10,000 [MD] SOFT  STEAMED CHEESEC 10,000 [Md] MinI CASTELLA OrIGIN 11,000 2 REDBEAN BREAD 18,000 TOTAL 49,000 CASH 100 ,000 CHANGE 51,,000 "
train_dataset/receipt_00220.png," KiE Bx ME WMUR ? 3m 1Rb Iwm0 Sm] #J0 231 MiW} 0071 dim Jo Wal {5,0W (an Rp.30,0o Kae R.5.C0 "
train_dataset/receipt_00617.png," 9,000 Dumpl ing 8,000 Jamur Kuping 7,000 Caisim Kecil 2 Lapchiong 12000 24,000 2 Otak-otak Singapore 1000 22.000 Bihun (MLY) 8.000 Subtotal 78 , 000 tOTAL 78 . 000 Go-Pay static QR 78.000 "
train_dataset/receipt_00658.png," Tea Latte 20.000 Subtotal Total 20,000 20,000 CaSH 20.000 Keabalian tHot "
train_dataset/receipt_00466.png," UNAc 3 | OCT  2017 NEW BEEF SPAGHETTI JB,182 1 P/p AMERICAN FAV 29,091 PAKET HAPPY HQUR 27 GARLIC BREAD DILNAX ENGLISH TEA SUDTOTAL 94,546 TAX 9,454 TOTAL 104= 9 o00 77273 "
train_dataset/receipt_00300.png," Paket SUPER MANTAP Z0 RAACHA 071 57 a 50,071 RICE 8.3o4 334 65.455 Sub Tclil PEi I0z 6.548 Totai 72.001 Gredit}Debet Card 72._01 "
train_dataset/receipt_00744.png," 2 FL Cake French 61,818 Vanilla SLC Red Velvet $ 36,360 Total Menu 3 SUBTOTAL 98,178 DISKON BIAYA TAMBAHAN PAJAK PPN 10 % 9,817.8 PAJAK % BIAYA CC PEMBULATAN 4.2 TOTAL 108,000 TUNAI 110,000 NON TUNAI KEMBALI 2,000 "
train_dataset/receipt_00012.png," 2 NASI AYAM KATSU TER. 31,819 TEH PANAS 5,455 ES TEH MANIS 7,273 CH CORDON BLEU NASI 42,728 87,275 ITEMS 8,728 VAT 10% Rounding 96,000 96, Total DEBIT BCA Souni 000 "
train_dataset/receipt_00011.png," 7.84 50 8 3] 434: N% ~ Nila Bakar/Gorerg 27 7- 33n= {"" ~' Tel Foti Gj EEBTOTAL 3: Do Senvice G Pejak Restoran 737 TOTAL 250 60 7ic7 "
train_dataset/receipt_00761.png," 4 Lemon Tea 25. 000 Popcorn Salt (M) 40. 000 TOTAL 65,000 CASH 65 , 000 CHANGED Kla "
train_dataset/receipt_00714.png, ~nn Buoo Ooo JubTotal 8.Ogo Total Item: TOTAL ;7 Bayar 10.0o0 Kemdali= 3OU . 
train_dataset/receipt_00652.png," WhDD JR iSk 1S,QOO Tako wjy Char3o PoS Subtptal 15, 909 PBi {i0X} 1,591 Takc Total 17,500 Cash 20,0oo 2,S00 { Changs "
train_dataset/receipt_00273.png," BBQ Chicken 41,000 Pedas sedikit ITEMS :1 Total_ 41,000 Cash 51,000 Change ;10,000 dbamat 3 Pay "" "
train_dataset/receipt_00785.png," SALMON PESTO 85 , 500 SALMON PESTO 85, 500 Disc 5 1OOX( ItMO6) -85,500 SUBTTL 85 , 500 SVC CHG 6X 10,280 PB1 10X 18  1 126 TOTAL 113,886 "
train_dataset/receipt_00177.png," Kupat TAHU 0512100 2 19,000 38,0j6 hiE Kocok 0515103 29,000 87,00o Sub Tata} 125,000 PB| 12,500 Hetto 137,500 Cash 150,000 Change 12,500 "
train_dataset/receipt_00679.png," KinG DeAL Fish ~SM, 4--iLEj ~em)n 74i -Vm EATIN TotaL 37500 JendereD 1JWVu chanGe 72500 "
train_dataset/receipt_00648.png," Ycur uisit J5 2005-CHEESE JOHP 50o,0} ?.500,00 Total Item: 9.500,00 Cash .s00.00 Tendered: Total. "
train_dataset/receipt_00005.png," Labagna 45 7 Odo 1 Spayhetti ChickPesto QDD 1 BangRang Chick Winys OQD Iced Cappuccino QDD Gelalw Ice Tea 0o SUDTOTAL 221 Service 16 g98 PBi 23,758 TOTAL 2613333 Coupun 10D,OoD BCA Card 181 333 KA #l Dit Ae F Ce Qlat 4e Fee L4a Dan J Gypsy "
train_dataset/receipt_00440.png, 1004-Smoked Cneese nushroom 24-00D xi 24.Q00 600i-Plastic Small Total Item: 24.ODD 24.00O Bag Total. Cash Tendered: 
train_dataset/receipt_00688.png," BLECLE GuN 182482 CAPRUCIND ELEND 20a9ug STRRUBERRY 18,102 COCKIES AND  CREAN 20,909 #4% Gula Mrni 100/ CHOCO ALMOND 18.2182 #Gula Kurni 1007 CAPPUCIN] ELEND 20.508 #Gula Nurni 1007 Subtotal 117.273 Fojw ~ 11.727 Total 129,Q00 Terered 150.O00 Kembali ~J "
train_dataset/receipt_00794.png," 13 PAKET WEEKEND 1 55,ODO 715.Q00 6 PAKET WEEKEND 2 80,OOO 430,000 1 ES JERUK 13,0OO 1ES TEKTAWAR 3 0oo 1 KOPI HITAM 8,500 1 ES BATU 1,000 Abr; Total 1770.00 23 Tunai 1.,250,000 Kembali Z9,.500 Qty; "
train_dataset/receipt_00453.png," Kupon 13 90 091 Subtotal 49,091 PBi (107) 909 Dine In Total 54,O00 Cash Rp.100,Ooo Change 46,0oo "
train_dataset/receipt_00276.png," Viet Latte 19,000 +Ice Subtotal Total 19.000 19,000 CaSH Kenbalian 50,O 31,000 "
train_dataset/receipt_00233.png," Pepenero Pastel Ix 15.000 15.000 Arem Arem Ix 12.000 12.000 Subtotal Rp 27.000 Tax (10,0% _ Rp 2.700 Total Rp 29.700 Other Rp 29.700 "
train_dataset/receipt_00045.png, 2 30# 7a 41 7 E3 2 Lar ge 22 #Plast ik Kcl 3 Tolal 22.000 Bayar 52 0oQ Kembal i 30 0oo 6 2525 0oo 
train_dataset/receipt_00147.png," #aath+ ### #94 CHOCO ALNOND 182182 #Gula Nurni 100} Subtotal 18,182 -15/ DISC ~2.727 Subtotal 15,455 PAJAK i01 1,546 Total 17.001 ++Rounding -1 FLAZZ 17.000 "
train_dataset/receipt_00003.png," Bintang Bremer 59,000 Chicken H-H 190,000 Ades 10,0O0 Sub Total 259,000 Service 9,600 Tax 52,416 Discount 19,000 TOTAL 302,016 "
train_dataset/receipt_00279.png," SOP AYM BNG 7 ,000 SOP AYM BNG -7,000 TEH TARIK P 15,000 TOTAL 15 , 000 CASH 55, 000 KEMBAL I 40, 000 "
train_dataset/receipt_00461.png," HC 40 , Quo KFC kinge ( Soaghetti Deluxe 8 , 182 Sub Total 48 , 182 F"".Rest I0 4,818 53,000 Jatal 60 , @0o Cush Keiiba 7,, 0oo Items, "
train_dataset/receipt_00541.png, Sabun Beras 300oo 30000 Sub Tolal Jooou Tunai JOOOu Kembalian 
train_dataset/receipt_00571.png," SMOKY PAN CLASSIC 59,808 Chicken Popcorn SUBTOTAL 88,000 4,400 SC 5% 9,240 PB1   10% TOTAL 101 640 Total item :2 Totai Qty :2 "
train_dataset/receipt_00325.png," 1 AIP Seafood 85.Doo Omurice Katsu Curry O1o ; Earl Gray Tea 3 Ood 1 Hot Tea QuD SUBTOTAL 240 Qoo Service 21 600 PBl 26 160 TOTAL 287,760 "
train_dataset/receipt_00159.png," #848****4*4$**+#axr**$ DEPTO4 24 , 000 DEPTQ 1 22 , Q0u TCTAL 46.00o 50 ,00 CASH QOo CHANGE 0 , "
train_dataset/receipt_00730.png, 1 ! 1 2 Roasted Hilk Tea 21.000 70k +R 8 Less Big Bubble 4 000 1 Ubtotal 25.0o0 Hal 2.S0o 2 27 50o Cash So .O0 lian fenbal 22 . 50q J 
train_dataset/receipt_00280.png," RB . COKLAT BAR 8 , OOC RB , COKLAT  BUN 8,000 RB , CREPES CHICKEN 9,000 ITEM:3 SUBTOTAL 25,000 PCS 3 DUE 25,000 CASH 50,000 CHANGE 25,000 "
train_dataset/receipt_00054.png," 20,000 KFC Hinger HC Rice 6,364 Sub Total 26, 364 Rest 10 2,636 Total 29,000 Cash 30 , Q00 Kembal i 1 , 000 2 Items, "
train_dataset/receipt_00080.png," THAI Iced TeA () 44338 164343 3255502 5 Jublar Itea Sub Total 1o.36] Pajak Resto 44636 Grang Total 47,67 "
train_dataset/receipt_00471.png," ah Avocado with Rock Salt and Cocoa 30,006 Crearn [L Total 30,000 JOOX 50,000 20,000 JOOX "
train_dataset/receipt_00620.png," Nas j (MLY) 6 , 000 Subtotal 6 , 000 TOTAL 6 , 000 Go-Pay static QR 6 . 000 "
train_dataset/receipt_00793.png, Ix 20. 000 20. Q00 Ice thai tea ITEHS 1Q #*rTOTaL Rp - 20- 000 CaSH 50. 000 CHANGE 30. 000 7 0 
train_dataset/receipt_00753.png," GANACHE MOUSSE PIECE 32,500 TOTAL 32 500 CASH 10)0,000 CHANGE 67,500 "
train_dataset/receipt_00244.png, e { 5 B3SD TAHUU BIHN 43.636 43.636 43.635 TOTAL TAX 10.00 4.364 GRAND TOTAL 48.000 TAI 50.00 > KE1ALI 2.000 3 { 1 17 
train_dataset/receipt_00008.png, Ix 36. 000 36. 000 Kimchi P Ix 0. O00 Rpo. 000 Fre ice grentea #xrTOTAL 36 . 000 cash Rp51. 000 ChANGe 15.000 
train_dataset/receipt_00577.png," Ri IX S-Chocolate Milk @20 1 00o 20 1 0oo Less Ice PBI ; 0 Subtotal; 20,000 Total: 20 ,_ 5 Oo Cash: 20 1 Ooo CHANGE : Coll "
train_dataset/receipt_00764.png," CB PR SIRLOIN 162000 162 , 00 2 F.FRIES KEDIUM F.FRIES COMBO 2 Brokm SAUCE ES TEH TANAR Bo00 0 , Qod cOcA COLA 1j000 13,d00 183,0o0 Subtotal Serv Charge: 5.00 9,150 PRI 10.00 19,215 GrandTotal 211,365 casn 220,000e Kesbalian 8,635 "
train_dataset/receipt_00151.png, Ix 22. 000 Rp. 22. 000 Ice grentea ITEMS 10 #**TOTAL 22_ 0o0 cash Re. 52. 000 CHANGE 30. 000 
train_dataset/receipt_00796.png, ineo-choconul Dun 28 OCO Z8-COD GObi Plaatic Small Iena 28. ODO Total: Cosh 4D.doC i2.DoD Dag 
train_dataset/receipt_00065.png," #R 6 NASI  Futih 54,000 1 SATE FADANG 35,000 GULAI  CuMI 25,000 DENDENG BALADO 80,Qoo 3 KERUPUK  KULIT 18,000 RENDANG dAGINg 20,000 GULAI HATI 20,000 MUJAIR BAKAR 23,000 GULAI  @TAK 20,000 AYAN BAKAR 20,000 1 SAMBAL  TRI BELAH 18.000 3 LALAP SEGAR 24.000 1  AYAN PENYET 21,000 2 AYAN GORENG 40,000 2 AYAN POP 42,000 2 GULAI   TUNJANG 40,000 6 TEH 30,000 1 TERONG BELANDA 20,000 1TEH TELUR 25,000 2 PUDING 16,000 Subtotal 591,000 P.Resto 107 59,100 41 Total 650,100 CASH 6SO.100 "
train_dataset/receipt_00222.png," APUCIND NEDIUN 18.182 Jula Murni 100v 18.182 10} 1,B18 20#O00 20,0p0 Subtotal PATAK Total CASH "
train_dataset/receipt_00009.png," R QUf THAI ICED TEA 2 @20 . 000 40 . 000 SUB-TOTAL 40 . 000 GRANDTOTAL 40,000 CASH 100 , 000 CHANGED 60 . 000 "
train_dataset/receipt_00164.png," THAI Iced TeA (L) 44338 164343 3255502 5 Jublar Itea Sub Total 1o.36] Pajak Resto 44636 Grang Total 47,67 "
train_dataset/receipt_00394.png, iDoi-Cnozo Bun 22.0O0 xi 22.000 6001-Plastic Small X Total Item: Total: 22 . d0D Cash Tendered: 52.do0 Change: 30.od0 Bag 
train_dataset/receipt_00738.png," RElilm FRZES 14.548 REJULAR COKE 7.273 {ilChOCD 4217 5,000 Subtotal 2481E PBi (01) 2.882 Dine In Total 5} Cash 7o.29 SO0 "
train_dataset/receipt_00609.png," 4 U CINNAMON SUGAR 17,000 17,000 TRIPPLE CHEESE 17,000 17,000 SUB TOTAL 34,000 GRAND TOTAL 34,000 CASH IDR 50,000 CHANGE DUE 16,000 "
train_dataset/receipt_00631.png," CHDC DANANA 10.000 CHEESE BUH 10.500 SUPER CKEESE 13.000 SUPER CHEESE 13,000 CLS CHK CHIL 12.000 PLASTIC DAG Me 0,000 6.00 ITEMS TOTAL 58.500 caSH 100.000 EHANGE 41.500 "
train_dataset/receipt_00010.png," ""iet Hilk Caffee 2,Qoo 'hot Sntztal 25, CCC 25.dw0 CUSH 3,000  Kenbalian 5,000 "
train_dataset/receipt_00301.png," 1DO9-Roti Kelapa 8.OOO,0D XZ 16.Q00,00 1245-Plastik Tentengan Kecil D,00 xl 0.00 Total Item: Total. 16.QOO ,@D Cash Tendered: S0-DOO;OD Change: 34.QOO,0G "
train_dataset/receipt_00718.png," 49,000 SHARKIE 49,000 BEVERAGE 129,000 DINE FOR BALI FISH & CHIPS DFT JAPANESE FISH & CHIPS 129,000 DINE FOR DANISH FISH DF NEW  YORK FISH CHIPS FOOD 258,000 SUBTTL 307  Service Charge 24,560 TaX 33, 156 TOTAL 364 _ 716 VISA 364,716 FREEZE CHIPS 00o "
train_dataset/receipt_00657.png, Kroket 12.000 12.000 Subtatal Rp  12.000 Tax (10.08) Rp 1.200 Total Rp   13.200 Other Rp 13.200 
train_dataset/receipt_00671.png," Lychee 20, dJ0 ~Ice 20,Cd Jtal 20.000 CHSH 60,000 Hebalian 30,0 ototel "
train_dataset/receipt_00724.png," 7 8 SmokeBeef NuTea 21,818 SubTotal: 21,818 PBl: 2,182 Total: 24,000 Debit Carda 24,000"" "
train_dataset/receipt_00433.png," 43,696 ToP'] BATTAN ULION 49,091 BEEF CURRT RICE 10,000 INARI 10,909 coln OrHG SUE , TOTAL 113,636 RESTAURANT TAX 11,304 GRAND TOTAL ~CASH 125,00C 125,0 Charige. 5,0UQ "
train_dataset/receipt_00396.png," WAA *2 Pcs Cheese Tart Rp58ooo ,00 Bag-S PS Carrier Rp58ooo.00 Subtotal = Rp5aooo , 00 Total: Paid BCA Debit; Rp58ooo . G0 Customer Rpo , 00 BCA Debit: "
train_dataset/receipt_00085.png," Luhd ML 118 Round Wagyu ( Igr) 47 ,200 Wagyu Rice Box 10.000 Subtota] 57,.200 TOTAL 57 ,200 BCA 57 .200 "
train_dataset/receipt_00258.png," Izr97 BBQ Chicken 41,000 Tidak Pedas ITEMS 41,000 Total 41,000 Pay Cash 41,000 Clanye 22-20887= "
train_dataset/receipt_00182.png," Ruasted KT (8 ) 42 Grass JELLY ( R ) 4 ICE M0 Subar Half SUBTOTAL 3 Diec product ~m ToTal SALES 23 TuTAL   ITEMS Gas4 DISC W 6494 '16,116 7et "
train_dataset/receipt_00120.png," SAM DA SOO MINERAL WATER 16,000 2 TWIST   DONUT 18,000 TOTAL 34_ J Ooo CASH 50 ,000 CHANGE 16,000 "
train_dataset/receipt_00428.png," An F Fe Combo 30, 000 TOTAL 30,000 CASH 50, 000 CHANGED 20, 000 "
train_dataset/receipt_00438.png," Cheesy Chic 18, 6.36 Rice Organik 6 , 818 K Criees Chic RC 30 , 465 Moca FLT QVLTIN 8,636 Perkedel 5,909 FFrles Large 18,182 Sub Total 88 , 636 Pembulafan Rest 10 8,865 Total 97,500 Cash 100,000 "
train_dataset/receipt_00064.png," BOTol (MOMOGI BOTOL KACA ASI) 804700027 44,000 SPECTRA DISPOSABLE BREAST PADS (IRIS) BP'-QOO1(BREASTPADS) Sp200031 58,000 MUSTELA BABY OIL 1OOML MU240036 160,000 3 Amount 262,000 aty: "
train_dataset/receipt_00421.png," 1i = 3 2 OCHA COLD 1,273 ABURA  SOBA CHK 40 , 1 909 SUBTTL 48 182 Pb] 10x 4,818 TOTAL 53, 000 NON BCA DEBIT 53 , 000 "
train_dataset/receipt_00274.png," NASI Uduk SATE bunTEL 1 X 55,000 5S,Odo NASI BALI {EMPAL) 1 X 62 ,D0 62,OD0 Jumlah Item Sub Total 117,0oo Pajak Resto 11,700 Grand Total 128,700 #t "
train_dataset/receipt_00488.png," TCREAM M 21 21,000 63,Q00 Jumlah 62,Ooo Bayer 10Q,Qo Kembali 37,dOC "
train_dataset/receipt_00762.png," Spicy Tuna 16,363 SubTotal: 16,363 PDi 1,636 Total; 17,999"" Cash"" 50, QOo Change: 32,001 Eze22 "
train_dataset/receipt_00379.png," Original Hugarian Ku 25001 Ix 20,000 20 , Original Hugarian Ku 25001 Ix 20,000 20,000 Original Hugarian Ku 25001 Ix 20,000 20 ,000 Or iginal Hugarian Ku 25001 Ix 20,000 000 No of Line(s) :4 Oty(s) :4 TOTAL: 000 E-Money 80 , Q00 Ma 0oo 20,C 80. "
train_dataset/receipt_00639.png," Caramel Sma| 1 38 . OO0 TOTAL 38,000  CASH 50 , OO0 CHANGED 12,000 "
train_dataset/receipt_00204.png," A CINNAMONSUGAR 17,000 17,0OD SUB TOTAL 17,000 GRAND TOTAL 17,000 TCASH 5236 17,000 CHANGEDUE "
train_dataset/receipt_00696.png," Spaghett Deluxe 8 . 182 Lychee Float 5.909 27.727 SB HC 5.909 Perkedel Sub Total 47,,727 P.Rest 10 773 52,500 Tota} Cash 60 , OQ0 Kemba | 7,500 Items, "
train_dataset/receipt_00124.png," UdG GR TLUR ASIN 165,000 =XMEDIUMZ= SApO Th SEAFOOD 129 QQQ =XMEDIUMI= CUMI GR' JUNJAN 129 QQQ =#MEDIUMI= BIHUN GORENG JJ 87,ooQ =#MEDIUM= OyonG TELOR 84,OoQ =XMEDIUMI= GURAME FILLET 163,000 ASAM MANIS 2 CHINESE TE 14,000 28,000 2 CRYSANTNUM 8 NASI PUTIH 10,00Q 80,000 3 HDT TEA 12,000 OQQ 3 ICED TEA 12,000 36,OQQ FoOD 757 QoQ BEVERAGES 100,0oo OTHERS B0,0QQ SubtotaL 937,000 SERVICE CHARGE 56,220 Tax 108 99 322 DU 1,092,542 36,5 "
train_dataset/receipt_00314.png," 2 2 Nutella Cheese 54,544 7 SubTotal: 54,544 RBL: 5,454 Total; 59,958  1 Debit Card: 58,998 "
train_dataset/receipt_00384.png," LEMONADE 2202 26,000 26,000 SUB TOTAL 26,000 GRAND TOTAL 26,000 CASH IDR 50,000 CHANGE DUE 24,000 "
train_dataset/receipt_00622.png," DN , LONG John 8 , O0o RB , AI-AI CHOCO 8 ,000 RB , SAPSAY CHICKEN 9,500 [TEM;3 SUBTOTAL 25,500 CS 3 DUE 25,500 CASH 30,000 CHANGE 4,500 "
train_dataset/receipt_00312.png," 0yDUMET TwiST ORANGE CHOCo donUT 10,OOO TOTAL 10,J00 CASH 10, O0o CHANGE "
train_dataset/receipt_00123.png," Ketoprak &C 27,090 SUBTOTAL 27 DQ0 Pbi i0x ,702 TOTAL DoO CASH 50,CUOO Change i3,UUU "
train_dataset/receipt_00262.png," twIST  DONUT 9,0O0 PEACH PASTRY 17,000 CHOCO CUSTARD PASTRY 12,000 EGG TART 13,000 ROYAL CHEESE TART 16,000 ToTAL 67,000 CASH 67,000 CHANGE "
train_dataset/receipt_00442.png," SHISAMO MENTAIKO 33,000 SALMON BACON 49,000 DYNAMITE SCALLOP 55 , 000 TOBIKO TOFU 29,000 X* SUBTTL 166,000 SVC 10,790 PBI 17,679 TOTAL 194 _ 469 "
train_dataset/receipt_00185.png," 1 [RICHE] WHITE SKIMM 52,727 1 PEACH 1 LYcHEE 1 LONGAN 1 ROASTED ALMOND 1 YELLOWVELVET 1 YELLOWVELVET 8ub Total 52,727 PBI (109} 5,273 Total 58,000 card Paynent 58,000 "
train_dataset/receipt_00463.png, 1 420 TT TOTAL CASH CHANGE 
train_dataset/receipt_00556.png," aa KP BRANDING $ Disc. hyorOCOCO  25OML; 2 6,900 13,800 Disc. 33,900 Total  Iten 13,801 Total Disc. 3,901 Total Belanja 9;900 GoPAY WALLET 9,900 Kembal ian PPN 1,236) Igl: ccanked Haleln "
train_dataset/receipt_00578.png," SAM DA SOO MINERAL WATER 16,000 2 TWIST   DONUT 18,000 TOTAL 34_ J Ooo CASH 50 ,000 CHANGE 16,000 "
train_dataset/receipt_00464.png," & NIKU UDON 49,091 SUB, TOTAL 49,091 RESTAURANT TAX 4,909 GRAND TOTAL ~CASH [54,000] 54,000 Change.46,000 "
train_dataset/receipt_00170.png," 444  Haa TRIPPLE CHEESE 2 17,000 34,000 SUB TOTAL 34,000 GRAND TOTAL 34,000 CASH IDR 50,000 CHANGE DUE 16,000 % OF "
train_dataset/receipt_00454.png," 1 MILK CREAM BREAD 12,500 REAL MILK CHOCO BREAD 12,500 RED BEAN BRAIDED BREAD 20,000 TOTAL 45,4J00 CASH '50,000 CHANGE 5,/j00 "
